hotel_id,star_number,total_number_reviews,overall_score,location_score,sleep_quality_score,meal_score,service_score,cleanliness_score
32873,4.0,2,8.4,10.0,-1.0,-1.0,8.0,10.0
32874,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32875,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32876,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32921,-1.0,40,8.4,9.2,8.6,-1.0,8.2,8.3
32878,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32880,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33082,-1.0,72,8.5,8.5,9.1,-1.0,8.8,8.9
33095,-1.0,111,7.8,8.1,7.900000000000001,-1.0,7.7,7.7
32882,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32883,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32884,5.0,4,9.6,9.0,-1.0,-1.0,10.0,10.0
32885,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33257,1.0,802,7.580299251870324,8.61147132169576,6.9,-1.0,6.906483790523691,6.680299251870324
32887,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33267,-1.0,196,8.6,9.3,7.8,-1.0,8.3,8.3
33295,0.0,2116,8.223534971644613,8.552930056710775,8.1,-1.0,8.09413988657845,8.147069943289223
33297,3.0,180,8.7,8.3,8.9,-1.0,8.6,8.8
33313,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32890,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32893,4.0,4,9.0,9.0,-1.0,-1.0,9.0,9.0
32895,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33372,3.0,2100,8.2,8.6,7.9,-1.0,7.8,8.1
33375,3.0,420,9.0,9.6,8.9,-1.0,8.5,9.0
33385,-1.0,262,7.8,8.9,7.3,-1.0,7.2,7.3
33391,2.0,504,8.442857142857143,8.52142857142857,8.7,-1.0,8.5,8.495238095238095
33393,4.0,248,7.7,7.5,7.8,-1.0,7.85,7.6
33409,3.0,94,7.9,8.0,8.4,-1.0,8.2,8.3
32897,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33439,-1.0,226,8.7,7.7,8.7,-1.0,8.8,8.9
33443,-1.0,238,9.2,9.1,9.1,-1.0,8.9,9.3
33446,0.0,356,8.55,9.4,8.2,-1.0,8.7,8.1
33466,0.0,256,8.1,7.4,8.2,-1.0,8.2,8.6
33467,0.0,368,8.7,9.0,8.6,-1.0,8.7,8.7
33470,3.0,210,7.831428571428571,7.619047619047619,8.0,-1.0,8.1,8.087619047619048
33477,-1.0,454,9.1,9.4,8.9,-1.0,8.7,8.8
32904,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33482,-1.0,42,7.4,7.1,7.299999999999999,-1.0,7.1,7.0
33489,2.0,58,8.1,8.4,7.9,-1.0,7.9,8.2
32905,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33493,3.0,36,6.372222222222222,6.394444444444446,6.700000000000001,-1.0,5.922222222222223,6.427777777777777
33496,2.0,1292,8.5,9.3,8.2,-1.0,7.900000000000001,8.2
33497,5.0,8,8.3,8.5,-1.0,-1.0,9.0,7.5
33498,3.0,210,8.7,8.1,8.8,-1.0,8.7,9.0
32906,4.0,2,9.2,8.0,-1.0,-1.0,8.0,10.0
33506,4.0,124,8.222580645161292,8.603225806451611,8.4,-1.0,8.180645161290322,8.02258064516129
33509,2.0,74,8.172972972972975,8.394594594594595,7.9,-1.0,8.354054054054055,8.186486486486485
32908,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33536,0.0,80,8.64,8.3,8.4,-1.0,8.84,8.8
33537,2.0,1042,9.1,9.3,8.8,-1.0,8.8,9.0
33544,-1.0,130,7.9,7.8,8.1,-1.0,7.6,8.0
33551,0.0,532,8.7,8.9,-1.0,-1.0,9.5,8.2
33555,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33563,-1.0,808,9.0,9.5,9.0,-1.0,8.8,9.0
32909,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33568,-1.0,438,8.3,9.3,8.1,-1.0,7.9,8.3
32911,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33571,-1.0,88,8.6,8.4,8.5,-1.0,8.5,8.6
33572,0.0,238,8.049579831932773,8.1,8.0,-1.0,8.199159663865547,7.800000000000001
33590,0.0,1008,8.9,9.2,8.5,-1.0,8.950000000000001,8.6
32914,1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33596,4.0,402,8.6,8.449751243781096,8.7,-1.0,8.69950248756219,8.3
33604,0.0,1332,7.5,7.099999999999999,7.5,-1.0,7.699999999999999,7.099999999999999
33615,0.0,288,8.450000000000001,8.5,8.5,-1.0,8.600000000000001,8.2
33616,-1.0,63,8.8,8.1,8.7,-1.0,8.9,8.9
33617,0.0,399,9.099999999999998,8.4,9.3,-1.0,9.014285714285714,9.099999999999998
33624,-1.0,30,6.4,6.8,6.6,-1.0,6.4,6.2
33629,4.0,152,9.1,8.6,9.3,-1.0,9.25,9.0
33634,-1.0,54,8.7,8.0,8.9,-1.0,8.5,8.9
32916,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33636,-1.0,152,8.2,8.8,8.2,-1.0,7.8999999999999995,8.1
33649,2.0,580,7.2,8.2,7.0,-1.0,7.15,6.8
33651,3.0,212,9.2,8.9,9.4,-1.0,9.1,9.2
33658,0.0,622,8.8,8.7,8.9,-1.0,8.64951768488746,8.949839228295819
33664,-1.0,562,8.6,9.0,8.5,-1.0,8.2,8.7
33666,0.0,376,9.5,9.4,9.4,-1.0,9.549999999999999,9.4
32920,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33669,0.0,36,8.4,9.4,8.3,-1.0,8.049999999999999,7.800000000000001
33673,3.0,188,8.7,8.7,8.8,-1.0,8.5,8.8
32922,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33687,-1.0,84,9.4,9.5,9.5,-1.0,9.5,9.2
33694,-1.0,66,8.5,9.2,8.7,-1.0,8.4,8.1
33697,3.0,64,9.3,9.8,9.1,-1.0,8.9,9.2
33705,0.0,34,9.08235294117647,9.558823529411764,9.2,-1.0,8.676470588235293,9.382352941176471
33711,-1.0,108,6.7,6.2,6.7,-1.0,6.9,7.3
33716,-0.0,1548,9.0,9.7,8.7,-1.0,8.4,9.1
33717,3.0,308,7.523376623376623,8.088311688311688,7.7,-1.0,7.311688311688312,7.811688311688312
33720,3.0,4,5.4,5.0,-1.0,-1.0,5.0,7.0
33721,0.0,26,8.161538461538463,8.784615384615384,8.2,-1.0,8.184615384615384,8.184615384615384
33724,2.0,28,7.5,7.9,8.2,-1.0,7.5,8.0
33725,0.0,636,8.3,7.5,8.6,-1.0,8.600000000000001,7.900000000000001
33727,0.0,92,8.3,8.3,8.4,-1.0,8.05,8.5
33733,-1.0,6,8.6,7.5,-1.0,-1.0,9.2,8.3
32930,3.0,8,7.2,9.0,-1.0,-1.0,6.0,7.0
33737,4.0,194,9.21443298969072,8.651546391752579,9.5,-1.0,9.362886597938145,9.488659793814435
33739,0.0,32,7.65,7.2,7.2,-1.0,8.6,8.1
33743,-0.0,44,8.9,8.6,9.0,-1.0,9.2,8.8
32931,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33750,0.0,384,8.15,8.2,8.2,-1.0,8.200000000000001,8.0
33754,4.0,12,7.099999999999999,8.3,6.7,-1.0,7.099999999999999,7.5
32933,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32934,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33764,-1.0,74,7.5,8.0,7.9,-1.0,7.6,7.6
33765,-1.0,32,6.2,6.7,5.5,-1.0,5.4,5.5
33766,4.0,290,9.08206896551724,9.713103448275863,9.3,-1.0,9.100689655172413,9.488275862068965
33776,2.0,58,8.3,9.2,8.0,-1.0,7.7,8.3
32936,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32937,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33782,2.0,72,7.300000000000001,8.3,7.199999999999999,-1.0,6.9,6.9
32938,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33791,4.0,16,8.0,8.1,7.5,-1.0,8.45,7.5
33797,0.0,210,8.0,8.0,8.3,-1.0,7.900000000000001,8.3
33799,1.0,4,6.3,7.5,-1.0,-1.0,8.8,5.0
32939,4.0,2,9.2,10.0,-1.0,-1.0,10.0,8.0
32940,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33802,3.0,104,8.25,8.9,8.5,-1.0,8.15,7.9
33803,0.0,720,8.75,8.7,8.8,-1.0,8.8,8.7
33806,3.0,20,8.3,8.2,8.9,-1.0,8.5,9.2
33807,-1.0,72,8.6,9.2,8.3,-1.0,8.0,8.7
33812,-1.0,22,8.1,7.7,8.6,-1.0,7.5,8.4
33813,0.0,168,8.0,8.4,7.9,-1.0,7.65,8.2
33815,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33816,-1.0,20,8.4,9.4,8.2,-1.0,7.5,8.0
33829,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32943,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32945,4.0,4,8.2,5.0,-1.0,-1.0,9.0,10.0
33844,-1.0,382,8.7,9.4,8.4,-1.0,8.1,8.4
32948,4.0,24,8.2,7.7,-1.0,-1.0,7.3,9.0
33853,-1.0,10,7.8,8.0,8.0,-1.0,7.5,8.0
33854,4.0,2,8.3,10.0,-1.0,-1.0,10.0,7.5
33857,4.0,50,7.996,8.024,8.8,-1.0,8.26,8.344
33861,0.0,56,8.75,8.8,9.4,-1.0,8.9,8.7
33868,4.0,100,8.2,8.2,8.5,-1.0,8.2,7.7
33871,-1.0,20,9.1,8.2,9.5,-1.0,9.5,9.2
33876,0.0,360,8.7,8.0,8.7,-1.0,8.8,8.9
33878,0.0,24,8.549999999999999,8.8,7.900000000000001,-1.0,8.950000000000001,7.900000000000001
32955,5.0,2,9.2,6.0,-1.0,-1.0,10.0,10.0
33892,-1.0,18,7.400000000000001,9.4,7.800000000000001,-1.0,6.9,6.9
32956,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33915,4.0,86,8.046511627906977,8.251162790697675,8.9,-1.0,8.044186046511628,8.151162790697674
33935,-1.0,168,8.5,7.6,8.5,-1.0,8.6,8.6
32960,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32961,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32964,5.0,4,7.0,7.0,-1.0,-1.0,7.0,7.0
32965,5.0,2,10.0,10.0,-1.0,-1.0,10.0,10.0
33961,0.0,32,9.0,9.4,9.1,-1.0,9.100000000000001,9.1
33968,0.0,88,9.2,8.3,9.2,-1.0,9.4,9.5
33972,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33980,-1.0,12,8.3,8.8,9.2,-1.0,8.3,8.3
32968,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33991,3.0,4,6.7,7.5,-1.0,-1.0,7.5,6.3
33994,-0.0,6,8.8,9.2,7.5,-1.0,8.3,8.3
32969,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32971,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32972,3.0,4,6.0,6.0,-1.0,-1.0,6.0,6.0
32973,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32974,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34033,3.0,4,5.8,5.0,-1.0,-1.0,3.8,6.3
32975,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32976,4.0,4,3.2,2.0,-1.0,-1.0,6.0,3.0
32981,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
