hotel_id,min_price
1,-1.0
2,464286.0
4,887220.0
5,500000.0
6,647020.0
8,656000.0
9,450000.0
10,637500.0
12,250000.0
15,2156098.0
21,-1.0
23,-1.0
24,329885.0
25,559898.0
27,-1.0
28,-1.0
29,-1.0
30,324675.0
31,-1.0
32,3030000.0
33,615262.0
34,21804109.0
36,562771.0
37,-1.0
38,600000.0
39,681818.0
41,972000.0
42,1087881.0
43,360000.0
44,1048586.0
45,-1.0
47,-1.0
48,-1.0
49,-1.0
50,738390.0
51,549000.0
52,509091.0
53,-1.0
54,1567452.0
55,-1.0
56,-1.0
57,147708.0
58,1019644.0
59,-1.0
60,-1.0
62,-1.0
63,484848.0
64,1259560.0
67,1160934.0
68,-1.0
69,1908494.0
70,1440000.0
71,450000.0
74,1656279.0
75,380000.0
76,1347045.0
77,-1.0
78,310000.0
79,3720983.0
80,559747.0
82,495000.0
84,-1.0
85,69264.0
86,-1.0
88,-1.0
90,-1.0
92,2378814.0
93,-1.0
95,561039.0
96,214286.0
97,-1.0
100,-1.0
101,1867331.0
102,1337027.0
106,-1.0
107,-1.0
109,2995958.0
110,-1.0
113,3500000.0
114,-1.0
116,1650000.0
119,-1.0
120,588889.0
122,-1.0
123,5593884.0
124,698779.0
125,597403.0
126,332500.0
130,425000.0
135,-1.0
136,1038961.0
137,3206485.0
138,1631743.0
139,-1.0
141,648675.0
142,-1.0
143,4305910.0
145,339483.0
146,757243.0
147,1360000.0
148,1432000.0
149,-1.0
151,-1.0
152,-1.0
153,-1.0
154,1683000.0
155,329760.0
156,1344000.0
157,1053280.0
158,-1.0
159,519481.0
160,543267.0
162,1476369.0
163,1210000.0
165,-1.0
166,2498701.0
168,648149.0
170,1860381.0
171,405600.0
172,111036.0
173,1058961.0
176,248377.0
177,-1.0
178,1227741.0
179,1208967.0
181,-1.0
182,840000.0
184,7893252.0
185,-1.0
186,-1.0
187,2236252.0
188,2586604.0
190,-1.0
191,744291.0
192,-1.0
193,840232.0
195,-1.0
199,-1.0
201,424000.0
202,379868.0
203,-1.0
204,588600.0
205,-1.0
206,-1.0
207,-1.0
208,562771.0
209,371000.0
210,-1.0
211,982175.0
212,525415.0
214,337662.0
217,941176.0
219,924929.0
220,789600.0
221,1400000.0
223,1282352.0
224,789232.0
225,-1.0
226,643800.0
228,418834.0
229,1589884.0
230,2418750.0
231,1287991.0
234,352940.0
235,294780.0
236,-1.0
237,-1.0
238,1153445.0
239,1667007.0
240,2631679.0
242,685930.0
243,913850.0
244,1091821.0
245,1043434.0
246,-1.0
247,-1.0
249,296599.0
250,-1.0
251,-1.0
253,-1.0
254,670000.0
255,413763.0
256,-1.0
257,525692.0
258,-1.0
260,-1.0
261,522500.0
262,699060.0
263,-1.0
266,737500.0
267,-1.0
269,640693.0
270,-1.0
271,999652.0
272,616883.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
