id,hotel_id,domain_id,domain_hotel_mapping_id
6bba358e-54a5-4458-87ed-650f58fe5186,4,2,95a50186-3167-4000-9f74-ce716fbb973f
6bba358e-54a5-4458-87ed-650f58fe5186,4,2,583ffb73-9bc2-42a6-972d-d392f66b578c
2578f95a-0aca-48bd-93ce-d947dd180fa9,5,2,d48d1dbf-6a0a-42a3-8b8c-0af142ce4abb
2578f95a-0aca-48bd-93ce-d947dd180fa9,5,2,3e41cd03-cf2d-444d-83f9-a8e2d8e3f111
88ae0252-d1d4-4813-a860-fceda64dc914,6,2,f71acfa5-aff2-4670-b52e-02567bae0d1f
88ae0252-d1d4-4813-a860-fceda64dc914,6,2,23f27cda-25af-4b9e-b7c8-c158875fa28b
c7ed6bc2-94d7-4427-852d-580f57087e5d,8,2,a62f2b75-b328-4ceb-a437-5fba63acfb8a
c7ed6bc2-94d7-4427-852d-580f57087e5d,8,2,18effb1e-fd56-422e-a7d6-508a807c08b4
491bc9c0-77bb-4387-8b09-b759348ee9e5,10,2,9ddce4b2-2d4d-44d7-86ce-7fa1a640a3eb
491bc9c0-77bb-4387-8b09-b759348ee9e5,10,2,7ad7a5e8-9a29-4a1d-8956-0a465191ac00
2ddfd7cf-3a0e-4708-a250-ecc4a637b21e,15,2,1f717746-389b-4c22-ad4e-eab602c99967
2ddfd7cf-3a0e-4708-a250-ecc4a637b21e,15,2,fd1b4374-fea7-4dcb-955e-974ba5ff7ca4
e16fe0db-9657-4ad2-ad14-a023f40c303a,24,2,9edeadfe-4454-492e-9037-9f9b99a267f8
e16fe0db-9657-4ad2-ad14-a023f40c303a,24,2,b767477c-58c0-4c08-b63d-75afe2f9f592
a7c5bdd3-c1c7-4640-8cf8-525caccb03b8,25,2,14cb1372-24f9-4a8f-8a88-e7203c068353
a7c5bdd3-c1c7-4640-8cf8-525caccb03b8,25,2,2c435f85-1cd6-44e1-a0a7-93083c496626
1d168340-cb25-4eaa-a197-2aa1d3315dcc,32,2,8f30e370-311e-4caf-a4c4-b96b16b6c71a
1d168340-cb25-4eaa-a197-2aa1d3315dcc,32,2,4c79da83-249c-4d23-bee8-e65f83990fb1
9c84a7f3-ca9c-45b5-bd54-07c5feca8d55,33,2,9f5372d5-7263-4f6b-b8d2-4c1f56b2326d
9c84a7f3-ca9c-45b5-bd54-07c5feca8d55,33,2,936a6644-a042-40e2-b18b-7981debdbc0c
4d04eeba-b2ac-4e8f-bae7-c16713d973bd,34,2,fa36ab44-de9c-4577-b669-275ceba1e6b0
4d04eeba-b2ac-4e8f-bae7-c16713d973bd,34,2,52cbefd4-f916-417e-8dc0-b6b6a8ce2302
d3b2cbdf-e191-4019-b8a4-ed9e4f6fbb59,38,2,4954b0bd-e4e4-4aa5-b3dd-b7a1eeb3d4b8
d3b2cbdf-e191-4019-b8a4-ed9e4f6fbb59,38,2,a27b6c87-9536-4e41-bc52-ccc1354046ac
bc0195f1-1bf5-4dc4-bf30-ed9e15a3030d,41,2,64a32d67-3c03-46d9-88bc-a792a558430c
bc0195f1-1bf5-4dc4-bf30-ed9e15a3030d,41,2,757b830f-9ba1-4561-810a-c6279f4899a5
d876e1ce-cba1-4a08-83fb-d5c5acd81966,42,2,bd7d1b6e-a931-4ec8-9fa2-e508d9eaa780
d876e1ce-cba1-4a08-83fb-d5c5acd81966,42,2,8d1d48fd-0f95-4bf8-a3e0-2458fb6f325e
cebcd728-8165-40da-9062-b4df51ea8daf,43,2,332ab09a-a168-4e90-9ac3-fdeaa5054578
cebcd728-8165-40da-9062-b4df51ea8daf,43,2,65b255d4-2294-4bd3-b98f-c3f39f425571
6364d07d-c185-4469-aef7-248369ba39d1,44,2,772e2158-37b8-4f6f-9d05-0a22452f73aa
6364d07d-c185-4469-aef7-248369ba39d1,44,2,b03d3b21-e04a-4e09-9bea-b95d01571b52
